Exclude (Y/N),Experiment,Date,JulianDate,PrePost,Plot,Strip,Coordinates,Farm_Coordinates,PT_Height(mm),NDVI_mean,GNDVI_mean,SAVI_mean,MSAVI_mean,NDRE_mean,CLRE_mean,SRre_mean,unique_id,Dry Matter %,Residula,Biomass (kg/ha),Total Biomass (kg/ha)
Y,TB,5/5/2025,125,Pre,28.4,13,"POLYGON ((-92.27047785 38.90542688, -92.27047767 38.90543417, -92.27054775 38.90543352, -92.27054807 38.90542611, -92.27047785 38.90542688))","POLYGON ((-92.27126447977226 38.905762369582106, -92.27126447977226 38.90536179063761, -92.26988422615567 38.90536179063761, -92.26988422615567 38.905762369582106, -92.27126447977226 38.905762369582106))",388.45,0.742,0.676,1.112,0.852,0.571,2.663,3.663,28.4_13,0.2,1056,4565.61,5621.61
Y,TB,5/5/2025,125,Pre,28.4,14,"POLYGON ((-92.27037744 38.90542736, -92.27037738 38.90543472, -92.27044629 38.90543422, -92.27044612 38.90542694, -92.27037744 38.90542736))","POLYGON ((-92.27126447977226 38.905762369582106, -92.27126447977226 38.90536179063761, -92.26988422615567 38.90536179063761, -92.26988422615567 38.905762369582106, -92.27126447977226 38.905762369582106))",453.61,0.732,0.674,1.098,0.845,0.547,2.414,3.414,28.4_14,0.19,1056,5960.68,7016.68
Y,TB,5/5/2025,125,Pre,28.4,15,"POLYGON ((-92.27044636 38.90541041, -92.27044636 38.90541767, -92.27037725 38.90541808, -92.27037726 38.90541077, -92.27044636 38.90541041))","POLYGON ((-92.27126447977226 38.905762369582106, -92.27126447977226 38.90536179063761, -92.26988422615567 38.90536179063761, -92.26988422615567 38.905762369582106, -92.27126447977226 38.905762369582106))",515.3,0.732,0.674,1.098,0.845,0.547,2.414,3.414,28.4_15,0.18,1056,6561.26,7617.26
Y,TB,5/5/2025,125,Pre,28.4,16,"POLYGON ((-92.2705484 38.90540979, -92.27054846 38.90541703, -92.2704774 38.90541762, -92.27047742 38.90541036, -92.2705484 38.90540979))","POLYGON ((-92.27126447977226 38.905762369582106, -92.27126447977226 38.90536179063761, -92.26988422615567 38.90536179063761, -92.26988422615567 38.905762369582106, -92.27126447977226 38.905762369582106))",483.22,0.742,0.676,1.112,0.852,0.571,2.663,3.663,28.4_16,0.17,1056,5893.09,6949.09
Y,TB,5/5/2025,125,Pre,28.4,17,"POLYGON ((-92.27047705 38.90539391, -92.27047731 38.90540125, -92.27054879 38.90540071, -92.27054886 38.90539339, -92.27047705 38.90539391))","POLYGON ((-92.27126447977226 38.905762369582106, -92.27126447977226 38.90536179063761, -92.26988422615567 38.90536179063761, -92.26988422615567 38.905762369582106, -92.27126447977226 38.905762369582106))",451.45,0.735,0.67,1.102,0.847,0.556,2.505,3.505,28.4_17,0.17,1056,5375.31,6431.31
N,TB,5/5/2025,125,Pre,28.4,18,"POLYGON ((-92.27037704 38.90539424, -92.27037702 38.9054017, -92.2704464 38.90540128, -92.27044634 38.90539403, -92.27037704 38.90539424))","POLYGON ((-92.27126447977226 38.905762369582106, -92.27126447977226 38.90536179063761, -92.26988422615567 38.90536179063761, -92.26988422615567 38.905762369582106, -92.27126447977226 38.905762369582106))",512.42,0.733,0.673,1.1,0.846,0.546,2.406,3.406,28.4_18,0.18,1056,6321.26,7377.26
N,TB,5/5/2025,125,Pre,28.4,19,"POLYGON ((-92.27044635 38.90537741, -92.27044641 38.90538469, -92.27037692 38.90538513, -92.2703769 38.90537771, -92.27044635 38.90537741))","POLYGON ((-92.27126447977226 38.905762369582106, -92.27126447977226 38.90536179063761, -92.26988422615567 38.90536179063761, -92.26988422615567 38.905762369582106, -92.27126447977226 38.905762369582106))",451.97,0.726,0.668,1.089,0.841,0.541,2.354,3.354,28.4_19,0.24,1056,5786.41,6842.41
N,TB,5/5/2025,125,Pre,28.4,20,"POLYGON ((-92.27054918 38.90537674, -92.27054893 38.90538416, -92.27047719 38.90538444, -92.27047694 38.90537761, -92.27054918 38.90537674))","POLYGON ((-92.27126447977226 38.905762369582106, -92.27126447977226 38.90536179063761, -92.26988422615567 38.90536179063761, -92.26988422615567 38.905762369582106, -92.27126447977226 38.905762369582106))",313.56,0.732,0.668,1.098,0.845,0.539,2.341,3.341,28.4_20,0.23,1056,4335.08,5391.08
N,TB,5/5/2025,125,Pre,28.4,21,"POLYGON ((-92.27047653 38.90536085, -92.2704767 38.90536835, -92.27054954 38.90536777, -92.27054972 38.90536057, -92.27047653 38.90536085))","POLYGON ((-92.27126447977226 38.905762369582106, -92.27126447977226 38.90536179063761, -92.26988422615567 38.90536179063761, -92.26988422615567 38.905762369582106, -92.27126447977226 38.905762369582106))",427.67,0.732,0.668,1.098,0.845,0.539,2.341,3.341,28.4_21,0.21,1056,5233.87,6289.87
N,TB,5/5/2025,125,Pre,28.4,22,"POLYGON ((-92.27037687 38.90536147, -92.2703769 38.90536876, -92.27044634 38.90536824, -92.27044619 38.90536112, -92.27037687 38.90536147))","POLYGON ((-92.27126447977226 38.905762369582106, -92.27126447977226 38.90536179063761, -92.26988422615567 38.90536179063761, -92.26988422615567 38.905762369582106, -92.27126447977226 38.905762369582106))",446.01,0.726,0.668,1.089,0.841,0.541,2.354,3.354,28.4_22,0.19,1056,5558.84,6614.84
